Continet,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Africa,4.3682,0.498,0.932,0.444,0.329,0.175,0.094
America,6.0527,0.965,1.352,0.8244,0.447,0.156,0.084
Asia,5.253,0.969,1.193,0.7607,0.4106,0.214,0.111
Europe,6.2629,1.225,1.429,0.922,0.404,0.171,0.133
Oceania,6.603,1.219,1.466,0.966,0.495,0.282,0.234
